size,internal_edges,external_edges,density,avg_clustering,diameter,avg_path_length,avg_degree,max_degree,modularity_contrib,conductance,community_id
80,562,0,0.1778481012658228,0.6222054963869982,7,3.251898734177215,14.05,23,0.00030451459061448156,0.0,118
203,1407,134,0.06862410378968932,0.49845839008196646,8,3.547724723211237,14.52216748768473,25,0.0007619641845440718,0.045454545454545456,119
25,205,0,0.6833333333333333,0.8483420012481798,2,1.3533333333333333,16.4,26,0.00011109888585111249,0.0,120
21,164,0,0.780952380952381,0.8614002326076629,2,1.2809523809523808,15.619047619047619,22,8.888108399381449e-05,0.0,121
19,144,0,0.8421052631578947,0.8769420208274699,2,1.2105263157894737,15.157894736842104,20,7.80427734682783e-05,0.0,122
119,831,64,0.11835920809001567,0.5946558843214407,7,3.0814698760860275,14.504201680672269,24,0.000450188201140451,0.03707995365005794,123
24,194,0,0.7028985507246377,0.8495749102156428,2,1.3297101449275361,16.166666666666668,25,0.00010513810912635037,0.0,124
19,145,0,0.847953216374269,0.8761609907120743,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,125
19,144,0,0.8421052631578947,0.8743070912575559,2,1.2339181286549707,15.157894736842104,20,7.80427734682783e-05,0.0,126
16,115,0,0.9583333333333334,0.9107142857142857,2,1.125,14.375,17,6.232680575835289e-05,0.0,127
22,175,0,0.7575757575757576,0.8571428571428572,2,1.2857142857142858,15.909090909090908,23,9.484205460711471e-05,0.0,128
214,1519,82,0.06664911587907507,0.524277432740981,8,3.7413013908999164,14.57943925233645,26,0.0008225922056175225,0.026282051282051282,129
24,195,0,0.7065217391304348,0.8501317523056655,2,1.3297101449275361,16.25,25,0.00010568000085721568,0.0,130
23,185,0,0.7312252964426877,0.8537907744429483,2,1.3122529644268774,16.08695652173913,24,0.00010026105710921641,0.0,131
33,216,0,0.4090909090909091,0.7730076320985415,4,2.3390151515151514,13.090909090909092,18,0.00011705959148341064,0.0,132
99,681,17,0.14038342609771182,0.5550384858113169,7,3.1807874665017524,13.929292929292929,25,0.0003689664296592343,0.012327773749093546,133
14,95,0,1.043956043956044,0.9450549450549451,2,1.065934065934066,13.571428571428571,15,5.148791944261265e-05,0.0,134
25,163,0,0.5433333333333333,0.8962875816993464,3,1.7033333333333334,13.04,19,8.833917404917741e-05,0.0,135
12,75,0,1.1363636363636365,0.9727272727272727,2,1.0303030303030303,12.5,13,4.06487981104626e-05,0.0,136
12,75,0,1.1363636363636365,0.9848484848484849,2,1.0151515151515151,12.5,13,4.06487981104626e-05,0.0,137
78,500,0,0.1665001665001665,0.8639782183363989,7,4.037962037962038,12.820512820512821,23,0.00027092956116922697,0.0,138
35,238,0,0.4,0.737557279321985,4,1.969747899159664,13.6,19,0.00012898078947061505,0.0,139
23,185,0,0.7312252964426877,0.8528632492826868,2,1.308300395256917,16.08695652173913,24,0.00010026105710921641,0.0,140
19,109,0,0.6374269005847953,0.9142078681552366,2,1.4736842105263157,11.473684210526315,18,5.907516454035385e-05,0.0,141
15,105,0,1.0,0.9277256077256079,2,1.0952380952380953,14.0,16,5.6907391977534e-05,0.0,142
13,85,0,1.0897435897435896,0.9650349650349652,2,1.0384615384615385,13.076923076923077,14,4.6068388153588854e-05,0.0,143
25,205,0,0.6833333333333333,0.8478260869565218,2,1.35,16.4,26,0.00011109888585111249,0.0,144
11,65,0,1.1818181818181819,1.0,1,1.0,11.818181818181818,12,3.52291493132339e-05,0.0,145
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,146
12,74,0,1.121212121212121,0.9515151515151516,2,1.0606060606060606,12.333333333333334,13,4.0106835874674346e-05,0.0,147
21,154,0,0.7333333333333333,0.7852956256317601,2,1.3666666666666667,14.666666666666666,20,8.346195810809761e-05,0.0,148
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,149
15,95,0,0.9047619047619048,0.9084249084249084,2,1.2380952380952381,12.666666666666666,16,5.148791944261265e-05,0.0,150
18,135,0,0.8823529411764706,0.8856209150326799,2,1.1830065359477124,15.0,19,7.316545705768331e-05,0.0,151
10,55,0,1.2222222222222223,1.0,1,1.0,11.0,11,2.9809441761902736e-05,0.0,152
20,148,0,0.7789473684210526,0.8465510220773378,2,1.305263157894737,14.8,21,8.021045437469833e-05,0.0,153
13,80,0,1.0256410256410255,0.8809246309246308,2,1.141025641025641,12.307692307692308,14,4.335860047628853e-05,0.0,154
20,154,0,0.8105263157894737,0.8524246513720197,2,1.236842105263158,15.4,21,8.346195810809761e-05,0.0,155
19,145,0,0.847953216374269,0.8761609907120745,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,156
17,116,0,0.8529411764705882,0.877303578774167,2,1.2720588235294117,13.647058823529411,18,6.286874390495914e-05,0.0,157
19,127,0,0.7426900584795322,0.78590889674481,2,1.368421052631579,13.368421052631579,20,6.883002473992031e-05,0.0,158
19,135,0,0.7894736842105263,0.8920377867746289,2,1.2982456140350878,14.210526315789474,20,7.316545705768331e-05,0.0,159
13,82,0,1.0512820512820513,0.8978632478632478,2,1.1153846153846154,12.615384615384615,14,4.4442517309831737e-05,0.0,160
31,210,0,0.45161290322580644,0.6895053291637733,3,1.7526881720430108,13.548387096774194,19,0.00011380830631527247,0.0,161
21,147,0,0.7,0.7671483978206666,3,1.4095238095238096,14.0,20,7.966853502940485e-05,0.0,162
19,145,0,0.847953216374269,0.8761609907120743,2,1.2105263157894737,15.263157894736842,20,7.858469457619484e-05,0.0,163
22,174,0,0.7532467532467533,0.8565960355434039,2,1.2987012987012987,15.818181818181818,23,9.43001511254289e-05,0.0,164
13,85,0,1.0897435897435896,0.9566433566433568,2,1.0512820512820513,13.076923076923077,14,4.6068388153588854e-05,0.0,165
13,85,0,1.0897435897435896,0.9650349650349652,2,1.0384615384615385,13.076923076923077,14,4.6068388153588854e-05,0.0,166
